"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment","Relative Threshold","Heat Metric"
"36","New York","36029","Erie","1992","0","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36029","Erie","1993","17","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36029","Erie","1994","9","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36029","Erie","1995","22","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36029","Erie","1996","4","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36029","Erie","1997","6","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36029","Erie","1998","11","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36029","Erie","1999","29","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36029","Erie","2000","3","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36029","Erie","2001","21","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36029","Erie","2002","34","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36029","Erie","2003","11","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36029","Erie","2004","1","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36029","Erie","2005","32","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36029","Erie","2006","16","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36029","Erie","2007","19","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36029","Erie","2008","11","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36029","Erie","2009","5","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36029","Erie","2010","24","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36029","Erie","2011","15","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36029","Erie","2012","21","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36029","Erie","2013","15","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36029","Erie","2014","9","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36029","Erie","2015","19","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36029","Erie","2016","47","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36029","Erie","2017","9","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36029","Erie","2018","34","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36029","Erie","2019","12","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36029","Erie","2020","26","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36029","Erie","2021","25","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36031","Essex","1979","16","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36031","Essex","1980","15","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36031","Essex","1981","4","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36031","Essex","1982","5","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36031","Essex","1983","18","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36031","Essex","1984","9","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36031","Essex","1985","4","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36031","Essex","1986","5","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36031","Essex","1987","16","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36031","Essex","1988","28","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36031","Essex","1989","13","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36031","Essex","1990","10","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36031","Essex","1991","15","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36031","Essex","1992","2","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36031","Essex","1993","10","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36031","Essex","1994","11","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36031","Essex","1995","16","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36031","Essex","1996","4","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"36","New York","36031","Essex","1997","11","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
